id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1097473418381926400,1097473418381926400,2019-02-18 20:30:27 CST,2019-02-18,20:30:27,+0800,35044686,tamuvetmed,Texas A&M Vet Med,,"Register for the 3rd Annual Veterinary Innovation Summit and join us on the cutting-edge of veterinary medicine, April 5–7, 2019, here at the #TAMU #CVM. Visit  https://t.co/0zDCDbKGho. #VIS2019 @vet_innovation @The_NAVC  https://t.co/ERgGoUh9Vm",en,"[{'screen_name': 'vet_innovation', 'name': 'vic navc', 'id': '802937818788020224'}, {'screen_name': 'the_navc', 'name': 'navc', 'id': '78102886'}]",['http://veterinaryinnovationsummit.com'],['https://pbs.twimg.com/media/DzsCQgMW0AAZUYR.jpg'],0,2,3,"['tamu', 'cvm', 'vis2019']",[],https://twitter.com/tamuvetmed/status/1097473418381926400,False,,1,https://pbs.twimg.com/media/DzsCQgMW0AAZUYR.jpg,,,,,,,[],,,,
1095699601179508737,1095699601179508737,2019-02-13 23:01:56 CST,2019-02-13,23:01:56,+0800,35044686,tamuvetmed,Texas A&M Vet Med,,"Veterinary Innovation &amp; Entrepreneurship Students from the #TAMU #CVM encourage you to join them at the Veterinary Innovation Summit in College Station, April 5–7, 2019. #VIS2019  https://t.co/FpLDTiqIjj @The_NAVC @vet_innovation  https://t.co/WHHAdcLQzJ",en,"[{'screen_name': 'the_navc', 'name': 'navc', 'id': '78102886'}, {'screen_name': 'vet_innovation', 'name': 'vic navc', 'id': '802937818788020224'}]",['https://youtu.be/CquVmIqc2vI'],['https://pbs.twimg.com/media/DzS0-pGX0AE1H68.jpg'],0,1,4,"['tamu', 'cvm', 'vis2019']",[],https://twitter.com/tamuvetmed/status/1095699601179508737,False,,1,https://pbs.twimg.com/media/DzS0-pGX0AE1H68.jpg,,,,,,,[],,,,
1094936713485582338,1094936713485582338,2019-02-11 20:30:30 CST,2019-02-11,20:30:30,+0800,35044686,tamuvetmed,Texas A&M Vet Med,,"Do you have an innovation mindset? Do you want to learn about advances in technology to help your practice? Register to attend the 3rd Annual Veterinary Innovation Summit, April 5–7, 2019, here at the #TAMU #CVM. Get all the details at  https://t.co/0zDCDbKGho. #VIS2019  https://t.co/bycQgjpAjC",en,[],['http://veterinaryinnovationsummit.com'],['https://pbs.twimg.com/media/DzH_I1iXcAA_EWC.jpg'],0,2,4,"['tamu', 'cvm', 'vis2019']",[],https://twitter.com/tamuvetmed/status/1094936713485582338,False,,1,https://pbs.twimg.com/media/DzH_I1iXcAA_EWC.jpg,,,,,,,[],,,,
1093849511431204865,1093849511431204865,2019-02-08 20:30:20 CST,2019-02-08,20:30:20,+0800,35044686,tamuvetmed,Texas A&M Vet Med,,"Ken Rotundo talks about who should attend the Veterinary Innovation Summit in College Station, TX, April 5–7, 2019 at the #TAMU #CVM. #VIS2019  https://t.co/1GW5bqBFsF",en,[],['https://youtu.be/5lESAWI560Y'],[],0,0,1,"['tamu', 'cvm', 'vis2019']",[],https://twitter.com/tamuvetmed/status/1093849511431204865,False,,0,,,,,,,,[],,,,
1093162897432289282,1093162897432289282,2019-02-06 23:01:59 CST,2019-02-06,23:01:59,+0800,35044686,tamuvetmed,Texas A&M Vet Med,,"Brianna Boyle, a third-year veterinary student at the Texas A&amp;M College of Veterinary Medicine &amp; Biomedical Sciences (CVM), talks about the benefits of attending the Veterinary Innovation Summit. #VIS2019 takes place April 5–7, 2019, at the #TAMU #CVM.  https://t.co/HOFc3ljMXz  https://t.co/NX3mEkGJir",en,[],['https://youtu.be/pOPJkC-2X5s'],['https://pbs.twimg.com/media/Dyux3FJX0AAz4JI.jpg'],0,0,3,"['vis2019', 'tamu', 'cvm']",[],https://twitter.com/tamuvetmed/status/1093162897432289282,False,,1,https://pbs.twimg.com/media/Dyux3FJX0AAz4JI.jpg,,,,,,,[],,,,
1092399980298620931,1092399980298620931,2019-02-04 20:30:25 CST,2019-02-04,20:30:25,+0800,35044686,tamuvetmed,Texas A&M Vet Med,,"Worried about keeping up with the accelerated pace of change in veterinary medicine? Stay on the cutting-edge—attend the 3rd Annual Veterinary Innovation Summit, April 5–7, 2019, here at the #TAMU #CVM. Register now at  https://t.co/0zDCDbKGho. #VIS2019  https://t.co/16fjpFXKBO",en,[],['http://veterinaryinnovationsummit.com'],['https://pbs.twimg.com/media/Dyj7_huXQAEHVYe.jpg'],0,0,3,"['tamu', 'cvm', 'vis2019']",[],https://twitter.com/tamuvetmed/status/1092399980298620931,False,,1,https://pbs.twimg.com/media/Dyj7_huXQAEHVYe.jpg,,,,,,,[],,,,
1089863246725697538,1089863246725697538,2019-01-28 20:30:21 CST,2019-01-28,20:30:21,+0800,35044686,tamuvetmed,Texas A&M Vet Med,,"Are you a #disrupter? Do you want to be on the cutting-edge of veterinary medicine? Join us for the 3rd Annual Veterinary Innovation Summit, April 5–7, 2019, here at the #TAMU #CVM! Register at  https://t.co/0zDCDbKGho. #VIS2019  https://t.co/zgvjf9CStK",en,[],['http://veterinaryinnovationsummit.com'],['https://pbs.twimg.com/media/Dx_42MlXgAELGde.jpg'],0,1,4,"['disrupter', 'tamu', 'cvm', 'vis2019']",[],https://twitter.com/tamuvetmed/status/1089863246725697538,False,,1,https://pbs.twimg.com/media/Dx_42MlXgAELGde.jpg,,,,,,,[],,,,
1087326527535095820,1087326527535095820,2019-01-21 20:30:20 CST,2019-01-21,20:30:20,+0800,35044686,tamuvetmed,Texas A&M Vet Med,,"Register for the 3rd Annual Veterinary Innovation Summit and join us on the cutting-edge of veterinary medicine, April 5–7, 2019, here at the #TAMU #CVM. Visit  https://t.co/0zDCDbKGho. #VIS2019  https://t.co/xRoPXJmpGq",en,[],['http://veterinaryinnovationsummit.com'],['https://pbs.twimg.com/media/Dxb1tsfXQAAAmcC.jpg'],0,2,3,"['tamu', 'cvm', 'vis2019']",[],https://twitter.com/tamuvetmed/status/1087326527535095820,False,,1,https://pbs.twimg.com/media/Dxb1tsfXQAAAmcC.jpg,,,,,,,[],,,,
1085152166178889729,1085152166178889729,2019-01-15 20:30:12 CST,2019-01-15,20:30:12,+0800,991020380885221377,jgreenslade1,Josh Greenslade,,Emily Brunden talking to us about inclusive learning and design in undergrad courses #VIS2019  https://t.co/kqXlC5D4wo,en,[],[],['https://pbs.twimg.com/media/Dw88I1YW0AAqNx0.jpg'],0,0,1,['vis2019'],[],https://twitter.com/JGreenslade1/status/1085152166178889729,False,,1,https://pbs.twimg.com/media/Dw88I1YW0AAqNx0.jpg,,,,,,,[],,,,
1068555988683370496,1068555988683370496,2018-12-01 01:22:55 CST,2018-12-01,01:22:55,+0800,865563309893971968,taylor_biz,Liz Taylor,,The torch passes from #lizandthedudes to #ronandthegirls 😂 Can’t wait to see how this team performs. #vismoot #allwomen #vis2019 #vienna #dowork,en,[],[],[],0,0,2,"['lizandthedudes', 'ronandthegirls', 'vismoot', 'allwomen', 'vis2019', 'vienna', 'dowork']",[],https://twitter.com/taylor_biz/status/1068555988683370496,False,,0,,,,,,,,[],,,,
1058321457124663297,1058321457124663297,2018-11-02 19:34:32 CST,2018-11-02,19:34:32,+0800,108442080,aipcpandora,AIPC Pandora,,"""Verano Internacional Solidario 2019"" combina voluntariado, práctica de inglés y actividades culturales. 15 proyectos. 12 destinos. 3 continentes. Apunta a tu hijo o hija antes del 12 de noviembre y aprovecha una reducción de 200€ #vis2019 #vis https://bit.ly/2OnHBL3",es,[],[],[],0,0,1,['vis2019'],[],https://twitter.com/AIPCPandora/status/1058321457124663297,False,,0,,,,,,,,[],,,,
1052952466130722816,1052952466130722816,2018-10-19 00:00:05 CST,2018-10-19,00:00:05,+0800,108442080,aipcpandora,AIPC Pandora,,VIAJAR PARA APRENDER ✈️ @AIPCPandora ya ha abierto los plazos de inscripción en nuestro programa de Verano Internacional Solidario.  ➡️ Entérate de todo en nuestra web!!  https://t.co/qa6tfhgF9K  #veranointernacionalsolidario #viajarparaaprender #vis2019 #educacioninternacional  https://t.co/23dGUXfRlb,es,"[{'screen_name': 'aipcpandora', 'name': 'aipc pandora', 'id': '108442080'}]",['https://bit.ly/2OnHBL3'],"['https://pbs.twimg.com/media/DpzWpkXWwAEkC0U.jpg', 'https://pbs.twimg.com/media/DpzWrYYW4AEZQ69.jpg', 'https://pbs.twimg.com/media/DpzWrYqXgAEI59s.jpg', 'https://pbs.twimg.com/media/DpzWrZHXoAARrlY.jpg']",0,2,0,"['veranointernacionalsolidario', 'viajarparaaprender', 'vis2019', 'educacioninternacional']",[],https://twitter.com/AIPCPandora/status/1052952466130722816,False,,1,https://pbs.twimg.com/media/DpzWpkXWwAEkC0U.jpg,,,,,,,[],,,,
