id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1331688440702914568,1331688440702914568,2020-11-26 03:57:20 CST,2020-11-26,03:57:20,+0800,702999329821188096,stepup4vitiligo,Global Vitiligo Foundation,,"#VIS2020 is coming up soon, are you registered? Check out the outstanding scientific program planned with 8 invited speakers, 17 oral abstracts + 39 virtual posters, covering the latest #vitiligo #research. Virtual program on 12/5-6. Register:  https://t.co/zFWLR8g4ay  https://t.co/TIkLtq5z6a",en,[],['http://www.vis2020.org'],['https://pbs.twimg.com/media/EnsbkMNW4AAhBFD.jpg'],0,1,1,"['vis2020', 'vitiligo', 'research']",[],https://twitter.com/StepUp4Vitiligo/status/1331688440702914568,False,,1,https://pbs.twimg.com/media/EnsbkMNW4AAhBFD.jpg,,,,,,,[],,,,
1326975812768305163,1326975812768305163,2020-11-13 03:51:02 CST,2020-11-13,03:51:02,+0800,702999329821188096,stepup4vitiligo,Global Vitiligo Foundation,,"There’s still time to register for the 1st virtual Vitiligo International Symposium, ft. leading researchers from around the world. To learn more about this year’s exciting scientific program and register, visit:  https://t.co/SNh2ZWiLa0 #VIS2020 #vitiligo #research #researcher  https://t.co/k5eEFLSNcq",en,[],['http://vis2020.org'],['https://pbs.twimg.com/media/EmpdY3PW8AMS_Ce.jpg'],0,0,0,"['vis2020', 'vitiligo', 'research', 'researcher']",[],https://twitter.com/StepUp4Vitiligo/status/1326975812768305163,False,,1,https://pbs.twimg.com/media/EmpdY3PW8AMS_Ce.jpg,,,,,,,[],,,,
1325480630688374785,1325480630688374785,2020-11-09 00:49:43 CST,2020-11-09,00:49:43,+0800,16890685,gtcomputing,Georgia Tech Computing,,"#ICYMI: “While there are other existing tools that help explain CNNs for beginners, this tool is quite different in how comprehensive its depth is &amp; how it combines everything together,” @Jay4w @gtcse #VIS2020  https://t.co/PaUUHiCms0",en,"[{'screen_name': 'jay4w', 'name': 'jay wang', 'id': '1071515035581734912'}, {'screen_name': 'gtcse', 'name': 'gatech cse', 'id': '2452044510'}]",['https://b.gatech.edu/2TPPlKQ'],[],0,5,8,"['icymi', 'vis2020']",[],https://twitter.com/gtcomputing/status/1325480630688374785,False,,0,,,,,,,,[],,,,
1324516730492854272,1324516730492854272,2020-11-06 08:59:31 CST,2020-11-06,08:59:31,+0800,809392810692640768,ieeeypctx,IEEE YP Central TX,,"RT from ComputerSociety: ""Excited to hear that you're looking forward to it!   #VIS2020 is the premier forum for advances in visualization and visual analytics and is open for registration:  https://t.co/zXOgnAUBDF  #ieee #ieeecs #data #computervision #g…  https://t.co/bJdSlDlSCk""",en,[],"['http://bit.ly/2ygMWkU', 'https://twitter.com/nlinphoto/status/1320752301817122817']",[],0,1,1,"['vis2020', 'ieee', 'ieeecs', 'data', 'computervision', 'g']",[],https://twitter.com/ieeeypctx/status/1324516730492854272,False,https://twitter.com/nlinphoto/status/1320752301817122817,0,,,,,,,,[],,,,
1324503023977144320,1324503023977144320,2020-11-06 08:05:03 CST,2020-11-06,08:05:03,+0800,52220019,computersociety,IEEE ComputerSociety,,Excited to hear that you're looking forward to it!   #VIS2020 is the premier forum for advances in visualization and visual analytics and is open for registration:  https://t.co/lYp8y1hrAW  #ieee #ieeecs #data #computervision #graphics,en,[],['http://bit.ly/2ygMWkU'],[],0,4,6,"['vis2020', 'ieee', 'ieeecs', 'data', 'computervision', 'graphics']",[],https://twitter.com/ComputerSociety/status/1324503023977144320,False,https://twitter.com/nlinphoto/status/1320752301817122817,0,,,,,,,,[],,,,
1324410106864435200,1324410106864435200,2020-11-06 01:55:50 CST,2020-11-06,01:55:50,+0800,702999329821188096,stepup4vitiligo,Global Vitiligo Foundation,,"Mark your calendars for the first-ever virtual #VitiligoInternationalSymposium on Dec 5-6, featuring 8 speakers, 17 oral abstracts and 39 virtual posters sharing the latest #vitiligo #research. Check out vitiligo expert program:  https://t.co/SNh2ZWiLa0 #vitiligoresearch #VIS2020  https://t.co/9aD4M4tp7y",en,[],['http://vis2020.org'],['https://pbs.twimg.com/media/EmE_9CmXgAAlPOP.jpg'],0,2,5,"['vitiligointernationalsymposium', 'vitiligo', 'research', 'vitiligoresearch', 'vis2020']",[],https://twitter.com/StepUp4Vitiligo/status/1324410106864435200,False,,1,https://pbs.twimg.com/media/EmE_9CmXgAAlPOP.jpg,,,,,,,[],,,,
1324130324293496832,1324130324293496832,2020-11-05 07:24:05 CST,2020-11-05,07:24:05,+0800,1184154018823565313,myvitiligoteam,MyVitiligoTeam,,"From @StepUp4Vitiligo: Mark your calendars for the first-ever virtual #VitiligoInternationalSymposium on Dec 5-6, featuring 8 speakers, 17 oral abstracts, &amp; 39 virtual posters sharing the latest #vitiligo #research. Check out the expert program:  https://t.co/JjEnUFW8Dm #VIS2020  https://t.co/Inn7jINYtH",en,"[{'screen_name': 'stepup4vitiligo', 'name': 'global vitiligo foundation', 'id': '702999329821188096'}]",['http://vis2020.org'],['https://pbs.twimg.com/media/EmBBgl0XIAEE7Fe.jpg'],0,0,1,"['vitiligointernationalsymposium', 'vitiligo', 'research', 'vis2020']",[],https://twitter.com/MyVitiligoTeam/status/1324130324293496832,False,,1,https://pbs.twimg.com/media/EmBBgl0XIAEE7Fe.jpg,,,,,,,[],,,,
1322571022751703043,1322571022751703043,2020-11-01 00:07:58 CST,2020-11-01,00:07:58,+0800,73638045,amira_mostafa,Amira M. Mostafa,,"Today’s glaucoma session was outstanding! Thanks Prof. Burgoyne, Prof. Hood and Prof. Mardin .. and of course #HeidelbergEngineering #VIS @HeidelbergEngUK #VIS2020",en,"[{'screen_name': 'heidelbergenguk', 'name': 'he uk', 'id': '774307182'}]",[],[],0,0,0,"['heidelbergengineering', 'vis', 'vis2020']",[],https://twitter.com/amira_mostafa/status/1322571022751703043,False,,0,,,,,,,,[],,,,
1322125277527445505,1322125277527445505,2020-10-30 18:36:44 CST,2020-10-30,18:36:44,+0800,1322117340503461894,apister2,Alexis Pister,,"Happy to present our #VIS2020 #ieeevis paper today on interactive social network clustering, at 4pm (CET/Paris) ! @paolobuono @jdfaviz @CPlaisant @_pvaldivia  Session link :  https://t.co/dqEbhR0Fgm Paper :  https://t.co/uVlQm1kQI0",en,"[{'screen_name': 'paolobuono', 'name': 'paolo buono', 'id': '23504165'}, {'screen_name': 'jdfaviz', 'name': 'jean-daniel fekete', 'id': '370227242'}, {'screen_name': 'cplaisant', 'name': 'catherine plaisant', 'id': '2507310130'}, {'screen_name': '_pvaldivia', 'name': 'paola', 'id': '3333650674'}]","['https://virtual.ieeevis.org/session_f-papers-decision-reason.html', 'https://arxiv.org/abs/2005.02972']",[],0,3,8,"['vis2020', 'ieeevis']",[],https://twitter.com/apister2/status/1322125277527445505,False,,0,,,,,,,,[],,,,
1322087481286684672,1322087481286684672,2020-10-30 16:06:33 CST,2020-10-30,16:06:33,+0800,781059970531991552,gravitas_ai,Gravitas AI,,"TINA has completed 4000+ registrations for the @ieeevis 2020 conference  Book the date: 25 October 2020 - 31 October 2020 "" https://t.co/JJhMaY9914""  #GravitasAI #ieee #vis2020 #AI #conference #technologyassistant #Tina #digitalassistant #automation  https://t.co/znNeUq8Bvb  https://t.co/11E1Df2kXk",en,"[{'screen_name': 'ieeevis', 'name': 'ieee vis', 'id': '179797676'}]","['http://ieeevis.org/year/2020/welcome', 'http://gravitas.ai']",[],0,0,2,"['gravitasai', 'ieee', 'vis2020', 'ai', 'conference', 'technologyassistant', 'tina', 'digitalassistant', 'automation']",[],https://twitter.com/gravitas_ai/status/1322087481286684672,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1322087396469481472/pu/img/V1yO4cJwTRNg71l6.jpg,,,,,,,[],,,,
